TRI Incident Number,ForceType,InjuryLevel,Member Injured,Rank Grouped,Assignment,Member Gender,Race
2020026962016,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020026962016,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020026962037,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020026962037,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020026962046,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020026962052,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020026962052,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020026962052,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020026962078,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020026962081,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020026962081,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020026962091,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962017,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962025,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962025,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962029,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962032,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962041,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962041,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962044,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962047,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962048,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962054,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962054,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962057,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962058,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962058,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962059,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962064,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962068,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962069,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962074,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962078,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962078,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962085,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962085,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962085,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962092,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962093,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962113,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962117,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962117,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962119,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962119,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962130,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962133,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962135,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962146,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962149,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962150,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962150,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962150,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962155,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962155,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962156,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962159,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962159,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962177,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962177,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962177,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020028962180,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962016,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962016,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962016,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962021,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962029,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962034,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962035,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962035,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962040,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962041,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962044,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962045,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962059,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962062,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962063,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962063,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962066,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962066,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962069,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962075,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962075,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020029962075,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962031,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962031,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962031,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962038,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962038,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962041,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962051,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962051,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962051,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962051,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962069,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962088,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962101,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962101,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962108,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962112,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962116,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962116,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962116,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962143,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962143,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962143,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962143,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962150,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962150,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962154,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962154,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962156,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962157,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962157,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962157,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962159,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962159,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962164,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962164,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962166,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962166,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962185,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962185,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962187,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962187,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962187,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020032962191,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962019,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962019,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962027,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962029,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962029,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962036,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962059,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962059,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962059,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962059,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962061,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962061,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962078,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962085,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962088,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962115,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962131,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962141,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962152,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962152,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962157,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962163,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962163,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962173,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962181,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962182,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962182,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962185,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962185,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962187,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962191,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962191,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962191,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020033962196,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020036962024,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020036962024,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020036962024,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020036962046,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020036962048,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020036962054,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020036962066,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020036962066,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020037962027,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020037962099,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020037962104,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020037962105,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020037962117,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020037962129,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020037962137,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962017,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962030,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962032,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962040,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962043,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962047,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962049,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962051,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962051,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962056,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962058,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962058,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962077,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962080,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962080,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962086,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962090,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962091,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962101,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962101,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020038962102,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020039962026,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020039962026,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020039962035,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020039962036,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020039962036,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020039962040,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020039962044,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020039962046,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020041962016,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962015,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962016,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962039,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962039,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962046,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962046,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962053,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962053,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962057,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962061,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962061,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962066,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962066,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962073,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962075,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962075,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962084,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962090,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962093,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962094,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962105,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962106,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962106,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020042962110,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
